00000001-00000004-00000002-kameng ,kameng,1264798620,Commvault,FULL,           , RANCV004-2_BC_RANCV004_35 ,RANCV004,1979252736, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000004-00000002-kameng ,kameng,1264798620,Commvault,FULL,           , RANCV004-2_BC_RANCV004_35 ,RANCV004,1979777024, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000006-00000004-kameng ,kameng,1264798815,Commvault,FULL,           , RANCV005-2_BC_RANCV005_36 ,RANCV005,1979252736, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000006-00000004-kameng ,kameng,1264798815,Commvault,FULL,           , RANCV005-2_BC_RANCV005_36 ,RANCV005,1979777024, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-0000000C-0000001B-kameng ,kameng,1264863688,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV008,272039936, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-0000000C-0000001B-kameng ,kameng,1264863688,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV008,273154048, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-0000000C-0000001B-kameng ,kameng,1264863688,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV08,272039936, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-0000000E-0000001D-kameng ,kameng,1264950087,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV008,272039936, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-0000000E-0000001D-kameng ,kameng,1264950087,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV008,273154048, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-0000000E-0000001D-kameng ,kameng,1264950087,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV08,272039936, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000010-0000001F-kameng ,kameng,1265036491,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV008,272039936, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000010-0000001F-kameng ,kameng,1265036491,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV008,273154048, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000010-0000001F-kameng ,kameng,1265036491,Commvault,FULL,           , RANCV008-2_BC_RANCV008_39 ,RANCV08,272039936, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000017-0000005A-kameng ,kameng,1265058254,Commvault,FULL,           , RANCV018-2_BC_RANCV018_49 ,RANCV018,1979252736, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000017-0000005A-kameng ,kameng,1265058254,Commvault,FULL,           , RANCV018-2_BC_RANCV018_49 ,RANCV018,1979777024, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000018-0000005C-kameng ,kameng,1265058834,Commvault,FULL,           , RANCV019-2_BC_RANCV019_50 ,RANCV019,1979252736, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
00000001-00000018-0000005C-kameng ,kameng,1265058834,Commvault,FULL,           , RANCV019-2_BC_RANCV019_50 ,RANCV019,1979908096, 7.0.0(BUILD76) ,,,none,WINDOWS,0,,0, Media Server 
